id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-11-05T09:13:31;RAM Focused;PAID;CASH_ON_DELIVERY;2020-11-05T17:35:38;64379;Australia 1080p Intranet;1
2;2020-11-05T06:27:47;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-11-05T10:23:28;8068;Baby;2
3;2020-11-05T16:09:35;monitor;CANCELLED;CREDIT_CARD;2020-11-05T08:00:57;97394;Rubber synergy program;3
4;2020-11-05T04:43:37;EXE parse strategic;CANCELLED;PAYPAL;2020-11-05T08:48:47;2286;HTTP;4
5;2020-11-05T00:58:48;black Awesome;PAID;CASH_ON_DELIVERY;2020-11-05T01:00:42;49531;Agent SDD auxiliary;5
6;2020-11-05T11:31:22;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-11-05T03:23:32;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-11-05T14:04:58;back up Toys;ISSUED;PAYPAL;2020-11-05T17:00:37;10756;Arizona Awesome Fresh Soap system;7
8;2020-11-05T10:37:08;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-11-05T10:26:11;50263;deploy;8
9;2020-11-05T04:27:06;Credit Card Account;CANCELLED;CREDIT_CARD;2020-11-05T14:50:15;308;payment Fantastic Fresh Soap;9
10;2020-11-05T14:51:29;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-11-05T18:37:18;94911;Granite Rubber Pizza;10
